"","week","category_id","year","total_sales","avg_sales"
"174","01",95620,2016,69,83
"175","01",95622,2017,78,181.5
"176","01",95622,2016,285,181.5
"177","01",95637,2016,5,5
"178","01",95637,2017,5,5
"179","01",95640,2016,374,382.5
"180","01",95640,2017,391,382.5
"181","01",95645,2017,63,33.5
"182","01",95645,2016,4,33.5
"183","01",95646,2017,3,3
"184","01",95646,2016,3,3
"185","01",95647,2017,1,1
"186","01",95647,2016,1,1
"187","01",95648,2017,7,6
"188","01",95648,2016,5,6
"189","01",95652,2017,12,9.5
"190","01",95652,2016,7,9.5
"191","01",95654,2016,57,65.5
"192","01",95654,2017,74,65.5
"193","01",95656,2017,1,1
"194","01",95658,2017,21,17
"195","01",95658,2016,13,17
"196","01",95666,2017,11,7.5
"197","01",95666,2016,4,7.5
"198","01",95667,2017,16,9
"199","01",95667,2016,2,9
"200","01",95668,2017,14,8
"201","01",95668,2016,2,8
"202","01",95670,2017,2,2
"203","01",95671,2017,12,10
"204","01",95671,2016,8,10
"205","01",95672,2017,15,10.5
"206","01",95672,2016,6,10.5
"207","01",95673,2017,25,17
"208","01",95673,2016,9,17
"209","01",95674,2016,133,143
"210","01",95674,2017,153,143
"211","01",95675,2017,40,47.5
"212","01",95675,2016,55,47.5
"213","01",95676,2017,194,183.5
"214","01",95676,2016,173,183.5
"215","01",95677,2017,12026,10273
"216","01",95677,2016,8520,10273
"217","01",95678,2017,1466,1341.5
"218","01",95678,2016,1217,1341.5
"219","01",95679,2017,179,149
"220","01",95679,2016,119,149
"221","01",95680,2017,104,95.5
"222","01",95680,2016,87,95.5
"223","01",95681,2016,90,57
"224","01",95681,2017,24,57
"225","01",95682,2016,161,302
"226","01",95682,2017,443,302
"227","01",95684,2016,52,63.5
"228","01",95684,2017,75,63.5
"229","01",95685,2017,105,116.5
"230","01",95685,2016,128,116.5
"231","01",95686,2017,93,77.5
"232","01",95686,2016,62,77.5
"233","01",95688,2017,181,183
"234","01",95688,2016,185,183
"235","01",95691,2017,5,5
"236","01",95692,2017,67,43
"237","01",95692,2016,19,43
"238","01",95693,2017,1,1
"239","01",95694,2017,2,2
"240","01",95695,2017,1,1
"241","01",95699,2016,1,2
"242","01",95699,2017,3,2
"243","01",95700,2017,17,14
"244","01",95700,2016,11,14
"245","01",95703,2016,2,2
"246","01",95705,2017,138,73
"247","01",95705,2016,8,73
"248","01",95707,2017,51,54.5
"249","01",95707,2016,58,54.5
"250","01",95708,2017,170,148
"251","01",95708,2016,126,148
"252","01",95709,2017,201,162
"253","01",95709,2016,123,162
"254","01",95710,2017,52,68
"255","01",95710,2016,84,68
"256","01",95713,2017,43,43
"257","01",95714,2017,940,758.5
